 ,Area1,Mean1,Min1,Max1,Circ.1,AR1,Round1,Solidity1,Area2,Mean2,Min2,Max2,Circ.2,AR2,Round2,Solidity2,Area3,Mean3,Min3,Max3,Circ.3,AR3,Round3,Solidity3,Area4,Mean4,Min4,Max4,Circ.4,AR4,Round4,Solidity4
1,397403.656,125.493,6,546,1,1.038,0.963,1.003,397403.656,164.031,2,1023,1,1.038,0.963,1.003,397403.656,150.050,6,596,1,1.038,0.963,1.003,397403.656,147.401,6,1023,1,1.038,0.963,1.003
2,397403.656,125.160,1,563,1,1.038,0.963,1.003,397403.656,164.022,2,1023,1,1.038,0.963,1.003,397403.656,151.020,2,567,1,1.038,0.963,1.003,397403.656,147.285,8,1023,1,1.038,0.963,1.003
3,397403.656,125.907,4,1023,1,1.038,0.963,1.003,397403.656,164.408,8,1023,1,1.038,0.963,1.003,397403.656,151.860,7,612,1,1.038,0.963,1.003,397403.656,148.739,10,1023,1,1.038,0.963,1.003
4,397403.656,124.835,0,852,1,1.038,0.963,1.003,397403.656,163.824,1,1023,1,1.038,0.963,1.003,397403.656,150.529,8,610,1,1.038,0.963,1.003,397403.656,146.596,9,1023,1,1.038,0.963,1.003
5,397403.656,124.655,8,696,1,1.038,0.963,1.003,397403.656,164.494,5,1023,1,1.038,0.963,1.003,397403.656,149.241,10,531,1,1.038,0.963,1.003,397403.656,146.782,7,1023,1,1.038,0.963,1.003
6,397403.656,124.269,9,619,1,1.038,0.963,1.003,397403.656,164.348,0,1023,1,1.038,0.963,1.003,397403.656,150.837,8,641,1,1.038,0.963,1.003,397403.656,146.976,7,1023,1,1.038,0.963,1.003
7,397403.656,125.076,4,789,1,1.038,0.963,1.003,397403.656,163.096,5,1023,1,1.038,0.963,1.003,397403.656,149.796,8,699,1,1.038,0.963,1.003,397403.656,147.021,1,867,1,1.038,0.963,1.003
8,397403.656,123.968,2,717,1,1.038,0.963,1.003,397403.656,163.978,6,1023,1,1.038,0.963,1.003,397403.656,150.200,4,677,1,1.038,0.963,1.003,397403.656,147.719,0,1023,1,1.038,0.963,1.003
9,397403.656,125.839,6,694,1,1.038,0.963,1.003,397403.656,163.976,1,1023,1,1.038,0.963,1.003,397403.656,150.286,6,532,1,1.038,0.963,1.003,397403.656,147.587,10,964,1,1.038,0.963,1.003
10,397403.656,124.997,5,731,1,1.038,0.963,1.003,397403.656,163.743,5,1023,1,1.038,0.963,1.003,397403.656,149.812,4,538,1,1.038,0.963,1.003,397403.656,146.108,4,1023,1,1.038,0.963,1.003
11,397403.656,124.788,4,671,1,1.038,0.963,1.003,397403.656,162.425,2,1023,1,1.038,0.963,1.003,397403.656,150.616,12,702,1,1.038,0.963,1.003,397403.656,147.454,8,902,1,1.038,0.963,1.003
12,397403.656,124.712,2,770,1,1.038,0.963,1.003,397403.656,163.655,4,1023,1,1.038,0.963,1.003,397403.656,151.921,8,652,1,1.038,0.963,1.003,397403.656,147.009,6,1023,1,1.038,0.963,1.003
13,397403.656,124.397,3,912,1,1.038,0.963,1.003,397403.656,164.067,5,1023,1,1.038,0.963,1.003,397403.656,150.118,5,663,1,1.038,0.963,1.003,397403.656,146.699,7,1023,1,1.038,0.963,1.003
14,397403.656,125.431,9,735,1,1.038,0.963,1.003,397403.656,163.760,2,1023,1,1.038,0.963,1.003,397403.656,150.823,9,565,1,1.038,0.963,1.003,397403.656,147.227,6,1023,1,1.038,0.963,1.003
15,397403.656,125.652,2,953,1,1.038,0.963,1.003,397403.656,163.767,1,1023,1,1.038,0.963,1.003,397403.656,150.743,9,599,1,1.038,0.963,1.003,397403.656,147.020,2,1023,1,1.038,0.963,1.003
16,397403.656,123.608,1,822,1,1.038,0.963,1.003,397403.656,163.710,1,1023,1,1.038,0.963,1.003,397403.656,150.012,5,547,1,1.038,0.963,1.003,397403.656,147.295,6,1023,1,1.038,0.963,1.003
