 ,Area1,Mean1,Min1,Max1,Circ.1,AR1,Round1,Solidity1,Area2,Mean2,Min2,Max2,Circ.2,AR2,Round2,Solidity2,Area3,Mean3,Min3,Max3,Circ.3,AR3,Round3,Solidity3,Area4,Mean4,Min4,Max4,Circ.4,AR4,Round4,Solidity4
1,397403.656,118.228,7,515,1,1.038,0.963,1.003,397403.656,156.559,5,1023,1,1.038,0.963,1.003,397403.656,148.470,6,643,1,1.038,0.963,1.003,397403.656,143.218,6,850,1,1.038,0.963,1.003
2,397403.656,118.850,7,448,1,1.038,0.963,1.003,397403.656,157.850,5,1023,1,1.038,0.963,1.003,397403.656,149.331,5,613,1,1.038,0.963,1.003,397403.656,143.447,5,959,1,1.038,0.963,1.003
3,397403.656,119.035,1,476,1,1.038,0.963,1.003,397403.656,157.271,2,1023,1,1.038,0.963,1.003,397403.656,149.010,2,570,1,1.038,0.963,1.003,397403.656,145.107,4,951,1,1.038,0.963,1.003
4,397403.656,119.153,4,467,1,1.038,0.963,1.003,397403.656,157.555,1,1023,1,1.038,0.963,1.003,397403.656,148.168,5,569,1,1.038,0.963,1.003,397403.656,144.530,4,1023,1,1.038,0.963,1.003
5,397403.656,119.290,5,489,1,1.038,0.963,1.003,397403.656,157.437,1,1023,1,1.038,0.963,1.003,397403.656,150.117,2,624,1,1.038,0.963,1.003,397403.656,143.473,7,988,1,1.038,0.963,1.003
6,397403.656,119.938,4,470,1,1.038,0.963,1.003,397403.656,156.854,2,1023,1,1.038,0.963,1.003,397403.656,149.499,0,637,1,1.038,0.963,1.003,397403.656,144.893,10,915,1,1.038,0.963,1.003
7,397403.656,118.924,7,506,1,1.038,0.963,1.003,397403.656,158.076,4,1023,1,1.038,0.963,1.003,397403.656,150.622,5,788,1,1.038,0.963,1.003,397403.656,144.917,6,870,1,1.038,0.963,1.003
8,397403.656,117.994,0,486,1,1.038,0.963,1.003,397403.656,157.211,0,1023,1,1.038,0.963,1.003,397403.656,147.995,5,734,1,1.038,0.963,1.003,397403.656,143.534,12,1023,1,1.038,0.963,1.003
9,397403.656,119.090,5,644,1,1.038,0.963,1.003,397403.656,156.809,0,1023,1,1.038,0.963,1.003,397403.656,149.227,6,675,1,1.038,0.963,1.003,397403.656,143.551,9,977,1,1.038,0.963,1.003
10,397403.656,118.577,1,457,1,1.038,0.963,1.003,397403.656,156.791,3,1023,1,1.038,0.963,1.003,397403.656,148.646,6,629,1,1.038,0.963,1.003,397403.656,143.068,1,671,1,1.038,0.963,1.003
11,397403.656,119.176,8,449,1,1.038,0.963,1.003,397403.656,156.558,2,1023,1,1.038,0.963,1.003,397403.656,149.855,0,570,1,1.038,0.963,1.003,397403.656,143.836,8,934,1,1.038,0.963,1.003
12,397403.656,120.697,9,470,1,1.038,0.963,1.003,397403.656,157.866,2,1023,1,1.038,0.963,1.003,397403.656,150.055,3,693,1,1.038,0.963,1.003,397403.656,144.235,10,1023,1,1.038,0.963,1.003
13,397403.656,119.737,0,436,1,1.038,0.963,1.003,397403.656,157.624,1,1023,1,1.038,0.963,1.003,397403.656,147.837,9,623,1,1.038,0.963,1.003,397403.656,144.905,7,744,1,1.038,0.963,1.003
14,397403.656,118.677,6,529,1,1.038,0.963,1.003,397403.656,157.739,8,1023,1,1.038,0.963,1.003,397403.656,149.253,5,744,1,1.038,0.963,1.003,397403.656,143.620,4,1023,1,1.038,0.963,1.003
15,397403.656,118.973,6,534,1,1.038,0.963,1.003,397403.656,158.760,0,1023,1,1.038,0.963,1.003,397403.656,147.688,0,857,1,1.038,0.963,1.003,397403.656,143.876,4,979,1,1.038,0.963,1.003
16,397403.656,119.032,2,386,1,1.038,0.963,1.003,397403.656,157.622,5,1023,1,1.038,0.963,1.003,397403.656,149.678,7,710,1,1.038,0.963,1.003,397403.656,144.178,3,893,1,1.038,0.963,1.003
17,397403.656,118.528,4,417,1,1.038,0.963,1.003,397403.656,157.287,2,1023,1,1.038,0.963,1.003,397403.656,149.058,6,612,1,1.038,0.963,1.003,397403.656,143.451,8,780,1,1.038,0.963,1.003
18,397403.656,119.687,2,443,1,1.038,0.963,1.003,397403.656,158.390,5,1023,1,1.038,0.963,1.003,397403.656,149.294,9,569,1,1.038,0.963,1.003,397403.656,145.479,7,953,1,1.038,0.963,1.003
