 ,Area1,Mean1,Min1,Max1,Circ.1,AR1,Round1,Solidity1,Area2,Mean2,Min2,Max2,Circ.2,AR2,Round2,Solidity2,Area3,Mean3,Min3,Max3,Circ.3,AR3,Round3,Solidity3,Area4,Mean4,Min4,Max4,Circ.4,AR4,Round4,Solidity4
1,397403.656,104.311,11,359,1,1.038,0.963,1.003,397403.656,85.210,11,307,1,1.038,0.963,1.003,397403.656,85.839,8,283,1,1.038,0.963,1.003,397403.656,97.631,9,398,1,1.038,0.963,1.003
2,397403.656,103.923,16,361,1,1.038,0.963,1.003,397403.656,85.276,12,297,1,1.038,0.963,1.003,397403.656,86.100,14,261,1,1.038,0.963,1.003,397403.656,97.432,18,345,1,1.038,0.963,1.003
3,397403.656,104.087,10,366,1,1.038,0.963,1.003,397403.656,85.885,11,300,1,1.038,0.963,1.003,397403.656,85.956,12,301,1,1.038,0.963,1.003,397403.656,96.851,15,364,1,1.038,0.963,1.003
4,397403.656,103.172,8,411,1,1.038,0.963,1.003,397403.656,85.784,9,303,1,1.038,0.963,1.003,397403.656,86.190,9,281,1,1.038,0.963,1.003,397403.656,97.072,12,310,1,1.038,0.963,1.003
5,397403.656,103.929,11,381,1,1.038,0.963,1.003,397403.656,85.537,12,272,1,1.038,0.963,1.003,397403.656,86.263,13,262,1,1.038,0.963,1.003,397403.656,97.491,12,366,1,1.038,0.963,1.003
6,397403.656,104.488,12,382,1,1.038,0.963,1.003,397403.656,86.418,10,295,1,1.038,0.963,1.003,397403.656,87.050,15,313,1,1.038,0.963,1.003,397403.656,97.673,14,337,1,1.038,0.963,1.003
7,397403.656,105.078,3,374,1,1.038,0.963,1.003,397403.656,85.460,9,305,1,1.038,0.963,1.003,397403.656,86.863,16,423,1,1.038,0.963,1.003,397403.656,97.549,8,345,1,1.038,0.963,1.003
8,397403.656,103.636,6,390,1,1.038,0.963,1.003,397403.656,85.626,4,294,1,1.038,0.963,1.003,397403.656,85.470,10,293,1,1.038,0.963,1.003,397403.656,98.174,12,359,1,1.038,0.963,1.003
9,397403.656,104.286,6,407,1,1.038,0.963,1.003,397403.656,85.658,12,275,1,1.038,0.963,1.003,397403.656,86.723,11,300,1,1.038,0.963,1.003,397403.656,97.802,13,411,1,1.038,0.963,1.003
10,397403.656,104.221,15,381,1,1.038,0.963,1.003,397403.656,85.490,11,335,1,1.038,0.963,1.003,397403.656,86.297,12,247,1,1.038,0.963,1.003,397403.656,97.578,10,291,1,1.038,0.963,1.003
11,397403.656,103.852,9,347,1,1.038,0.963,1.003,397403.656,85.852,13,284,1,1.038,0.963,1.003,397403.656,86.487,1,285,1,1.038,0.963,1.003,397403.656,97.789,3,348,1,1.038,0.963,1.003
12,397403.656,104.808,10,398,1,1.038,0.963,1.003,397403.656,85.811,10,291,1,1.038,0.963,1.003,397403.656,87.500,19,343,1,1.038,0.963,1.003,397403.656,98.472,12,365,1,1.038,0.963,1.003
13,397403.656,104.724,19,379,1,1.038,0.963,1.003,397403.656,86.224,8,347,1,1.038,0.963,1.003,397403.656,86.901,11,374,1,1.038,0.963,1.003,397403.656,97.562,14,342,1,1.038,0.963,1.003
14,397403.656,104.514,10,420,1,1.038,0.963,1.003,397403.656,86.347,10,281,1,1.038,0.963,1.003,397403.656,85.972,10,295,1,1.038,0.963,1.003,397403.656,97.644,12,322,1,1.038,0.963,1.003
15,397403.656,104.237,7,384,1,1.038,0.963,1.003,397403.656,85.846,9,305,1,1.038,0.963,1.003,397403.656,86.108,2,322,1,1.038,0.963,1.003,397403.656,97.673,6,356,1,1.038,0.963,1.003
16,397403.656,103.779,16,401,1,1.038,0.963,1.003,397403.656,85.239,8,270,1,1.038,0.963,1.003,397403.656,85.742,8,259,1,1.038,0.963,1.003,397403.656,97.224,15,331,1,1.038,0.963,1.003
17,397403.656,103.676,9,409,1,1.038,0.963,1.003,397403.656,85.900,9,270,1,1.038,0.963,1.003,397403.656,86.568,11,318,1,1.038,0.963,1.003,397403.656,97.195,12,341,1,1.038,0.963,1.003
18,397403.656,104.007,12,383,1,1.038,0.963,1.003,397403.656,85.331,5,296,1,1.038,0.963,1.003,397403.656,86.143,10,293,1,1.038,0.963,1.003,397403.656,97.692,9,335,1,1.038,0.963,1.003
19,397403.656,103.836,13,363,1,1.038,0.963,1.003,397403.656,86.064,14,285,1,1.038,0.963,1.003,397403.656,86.444,9,259,1,1.038,0.963,1.003,397403.656,97.959,10,436,1,1.038,0.963,1.003
20,397403.656,103.457,5,394,1,1.038,0.963,1.003,397403.656,86.138,7,292,1,1.038,0.963,1.003,397403.656,86.794,8,283,1,1.038,0.963,1.003,397403.656,97.344,6,323,1,1.038,0.963,1.003
21,397403.656,104.420,13,375,1,1.038,0.963,1.003,397403.656,85.637,5,290,1,1.038,0.963,1.003,397403.656,86.876,6,321,1,1.038,0.963,1.003,397403.656,98.782,16,356,1,1.038,0.963,1.003
