 ,Area1,Mean1,Min1,Max1,Circ.1,AR1,Round1,Solidity1,Area2,Mean2,Min2,Max2,Circ.2,AR2,Round2,Solidity2,Area3,Mean3,Min3,Max3,Circ.3,AR3,Round3,Solidity3,Area4,Mean4,Min4,Max4,Circ.4,AR4,Round4,Solidity4
1,397403.656,88.838,5,348,1,1.038,0.963,1.003,397403.656,83.374,5,261,1,1.038,0.963,1.003,397403.656,89.095,12,283,1,1.038,0.963,1.003,397403.656,102.210,8,343,1,1.038,0.963,1.003
2,397403.656,87.981,11,279,1,1.038,0.963,1.003,397403.656,83.298,10,289,1,1.038,0.963,1.003,397403.656,89.686,11,284,1,1.038,0.963,1.003,397403.656,101.143,10,356,1,1.038,0.963,1.003
3,397403.656,89.199,11,301,1,1.038,0.963,1.003,397403.656,83.542,13,285,1,1.038,0.963,1.003,397403.656,89.782,8,278,1,1.038,0.963,1.003,397403.656,102.565,14,356,1,1.038,0.963,1.003
4,397403.656,89.469,11,330,1,1.038,0.963,1.003,397403.656,83.445,7,281,1,1.038,0.963,1.003,397403.656,90.224,9,277,1,1.038,0.963,1.003,397403.656,102.255,11,351,1,1.038,0.963,1.003
5,397403.656,88.430,5,302,1,1.038,0.963,1.003,397403.656,82.796,10,254,1,1.038,0.963,1.003,397403.656,89.527,7,279,1,1.038,0.963,1.003,397403.656,101.031,15,326,1,1.038,0.963,1.003
6,397403.656,88.488,11,299,1,1.038,0.963,1.003,397403.656,82.505,9,271,1,1.038,0.963,1.003,397403.656,89.526,7,305,1,1.038,0.963,1.003,397403.656,101.508,7,322,1,1.038,0.963,1.003
7,397403.656,87.983,10,307,1,1.038,0.963,1.003,397403.656,83.257,8,268,1,1.038,0.963,1.003,397403.656,89.365,6,303,1,1.038,0.963,1.003,397403.656,101.464,9,348,1,1.038,0.963,1.003
8,397403.656,88.640,14,285,1,1.038,0.963,1.003,397403.656,83.430,8,353,1,1.038,0.963,1.003,397403.656,89.388,9,295,1,1.038,0.963,1.003,397403.656,101.805,14,326,1,1.038,0.963,1.003
9,397403.656,88.334,14,279,1,1.038,0.963,1.003,397403.656,82.947,10,299,1,1.038,0.963,1.003,397403.656,89.378,9,308,1,1.038,0.963,1.003,397403.656,101.149,10,369,1,1.038,0.963,1.003
10,397403.656,88.592,6,298,1,1.038,0.963,1.003,397403.656,82.589,7,255,1,1.038,0.963,1.003,397403.656,89.688,13,289,1,1.038,0.963,1.003,397403.656,102.530,15,374,1,1.038,0.963,1.003
11,397403.656,88.529,11,320,1,1.038,0.963,1.003,397403.656,82.923,3,251,1,1.038,0.963,1.003,397403.656,88.817,9,286,1,1.038,0.963,1.003,397403.656,102.379,3,349,1,1.038,0.963,1.003
12,397403.656,87.718,11,301,1,1.038,0.963,1.003,397403.656,83.118,9,281,1,1.038,0.963,1.003,397403.656,88.721,9,280,1,1.038,0.963,1.003,397403.656,101.476,9,363,1,1.038,0.963,1.003
13,397403.656,88.436,10,333,1,1.038,0.963,1.003,397403.656,83.445,4,268,1,1.038,0.963,1.003,397403.656,88.907,9,263,1,1.038,0.963,1.003,397403.656,102.161,18,366,1,1.038,0.963,1.003
14,397403.656,89.399,9,298,1,1.038,0.963,1.003,397403.656,82.645,8,273,1,1.038,0.963,1.003,397403.656,89.786,6,312,1,1.038,0.963,1.003,397403.656,101.804,7,353,1,1.038,0.963,1.003
15,397403.656,88.018,10,259,1,1.038,0.963,1.003,397403.656,83.478,13,275,1,1.038,0.963,1.003,397403.656,88.882,3,290,1,1.038,0.963,1.003,397403.656,100.778,5,346,1,1.038,0.963,1.003
16,397403.656,88.656,1,306,1,1.038,0.963,1.003,397403.656,83.416,4,270,1,1.038,0.963,1.003,397403.656,89.617,6,314,1,1.038,0.963,1.003,397403.656,101.403,10,333,1,1.038,0.963,1.003
17,397403.656,88.416,13,286,1,1.038,0.963,1.003,397403.656,82.949,8,234,1,1.038,0.963,1.003,397403.656,89.603,14,256,1,1.038,0.963,1.003,397403.656,101.886,10,397,1,1.038,0.963,1.003
18,397403.656,88.785,17,273,1,1.038,0.963,1.003,397403.656,83.396,8,266,1,1.038,0.963,1.003,397403.656,89.720,13,281,1,1.038,0.963,1.003,397403.656,101.981,13,330,1,1.038,0.963,1.003
19,397403.656,88.576,9,258,1,1.038,0.963,1.003,397403.656,83.329,11,293,1,1.038,0.963,1.003,397403.656,89.244,9,264,1,1.038,0.963,1.003,397403.656,101.597,11,338,1,1.038,0.963,1.003
20,397403.656,88.295,10,277,1,1.038,0.963,1.003,397403.656,83.476,15,320,1,1.038,0.963,1.003,397403.656,89.528,13,277,1,1.038,0.963,1.003,397403.656,101.639,17,455,1,1.038,0.963,1.003
21,397403.656,89.542,11,311,1,1.038,0.963,1.003,397403.656,83.665,0,269,1,1.038,0.963,1.003,397403.656,90.473,6,317,1,1.038,0.963,1.003,397403.656,102.889,16,348,1,1.038,0.963,1.003
22,397403.656,88.259,7,273,1,1.038,0.963,1.003,397403.656,83.722,15,296,1,1.038,0.963,1.003,397403.656,89.667,12,266,1,1.038,0.963,1.003,397403.656,102.131,18,379,1,1.038,0.963,1.003
